Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2020,529.00,540.60,524.45,539.65,535.372430617617931934,207005,4923,110824770.00,56573,27.33,16.15,10.65
29-December-2020,527.90,533.65,524.50,528.80,528.109119516258406861,291726,7576,154063161.00,123903,42.47,9.15,0.90
28-December-2020,515.00,527.15,514.90,525.35,521.239827458940763978,173408,3669,90387156.00,54401,31.37,12.25,10.35
24-December-2020,513.50,515.70,508.20,514.40,513.214950554931546660,127313,4049,65338935.00,73452,57.69,7.50,0.90
23-December-2020,505.00,512.75,502.50,510.50,504.665207623179423613,180712,2779,91199059.00,96264,53.27,10.25,5.50
22-December-2020,501.10,508.75,492.45,503.80,500.695803134368003642,210824,7751,105558692.00,76572,36.32,16.30,2.70
21-December-2020,510.00,515.00,494.40,503.65,509.983605807705499028,174940,4599,89216532.00,103704,59.28,20.60,-6.35
18-December-2020,511.55,513.60,503.20,509.15,508.305897244973938942,134300,2709,68265482.00,67225,50.06,10.40,-2.40
17-December-2020,516.00,517.35,510.45,511.20,514.380030782588105292,126695,3270,65169378.00,55487,43.80,6.90,-4.80
16-December-2020,514.00,519.50,512.55,513.65,515.899401440829520644,177259,4307,91447812.00,69698,39.32,6.95,-0.35
15-December-2020,515.80,517.10,511.25,514.00,514.054365469009879165,49903,1175,25652855.00,14923,29.90,5.85,-1.80
14-December-2020,516.00,518.75,512.40,513.30,515.624843585084273636,183806,5346,94774940.00,87204,47.44,6.35,-2.70
11-December-2020,518.70,519.35,508.90,513.80,514.055567173542855435,133892,2562,68827928.00,27737,20.72,10.45,-4.90
10-December-2020,503.00,517.00,502.50,514.25,511.609691497930207728,266935,4971,136566533.00,59529,22.30,14.50,11.25
9-December-2020,507.00,509.45,501.10,502.05,504.189556435791558453,214084,5564,107938917.00,65255,30.48,8.35,-4.95
8-December-2020,502.00,506.80,499.30,502.75,502.682215782021252663,75567,2503,37986187.00,28288,37.43,7.50,0.75
7-December-2020,501.10,505.35,499.10,501.95,502.032047790245851036,220296,6581,110595652.00,79769,36.21,6.25,0.85
4-December-2020,504.50,506.60,501.65,502.50,503.047680825835251447,143370,1852,72121946.00,99091,69.12,4.95,-2.00
3-December-2020,502.00,506.85,500.70,501.30,502.883283454467721248,74848,1626,37639808.00,27869,37.23,6.15,-0.70
2-December-2020,506.80,509.40,497.35,502.30,503.594292676933158584,97664,1913,49183033.00,26967,27.61,12.05,-4.50
1-December-2020,505.00,506.95,501.30,505.95,504.970479573712255772,56300,1364,28429838.00,20638,36.66,5.65,0.95
