Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2020,5199.00,5199.00,5142.00,5171.45,5161.590433084842030528,11268,1000,58160801.00,1610,14.29,57.00,-27.55
29-December-2020,5212.00,5267.55,5146.90,5163.95,5211.812251341964003789,47505,4866,247587141.00,14596,30.73,120.65,-48.05
28-December-2020,5205.20,5234.90,5187.45,5205.75,5214.348417126475755987,32441,2529,169158677.00,5484,16.90,47.45,0.55
24-December-2020,5270.00,5270.00,5162.85,5203.50,5198.229751191106405505,32113,3005,166930752.00,10586,32.96,107.15,-66.50
23-December-2020,5151.45,5235.00,5128.05,5221.40,5188.930534499514091350,25725,4700,133485238.00,10414,40.48,106.95,69.95
22-December-2020,5108.00,5176.15,4943.55,5161.90,5079.155838312576488373,55564,4768,282218215.00,6052,10.89,232.60,53.90
21-December-2020,5220.00,5273.95,4961.55,5065.65,5157.153093515136002978,85954,10875,443277937.00,25307,29.44,312.40,-154.35
18-December-2020,5074.95,5262.30,5074.95,5230.15,5173.788527670769519872,106430,11174,550646313.00,39984,37.57,187.35,155.20
17-December-2020,5040.00,5132.35,5033.60,5074.95,5097.206002522068095838,59475,5990,303156327.00,18641,31.34,98.75,34.95
16-December-2020,5035.00,5050.00,5006.10,5039.00,5030.987246963562753036,24700,1607,124265385.00,3400,13.77,43.90,4.00
15-December-2020,5059.95,5075.00,5010.00,5027.65,5043.147048685037613804,49317,4074,248712883.00,8516,17.27,65.00,-32.30
14-December-2020,4975.00,5051.70,4970.45,5023.35,5016.300214731245100378,29339,2637,147173232.00,5967,20.34,81.25,48.35
11-December-2020,5052.00,5084.20,4985.00,5015.90,5032.976684308396509798,20973,2128,105556620.00,4426,21.10,99.20,-36.10
10-December-2020,5060.00,5085.75,5016.50,5051.95,5054.444038142386993333,35551,2792,179690540.00,8065,22.69,69.25,-8.05
9-December-2020,5015.00,5099.45,5015.00,5056.55,5063.874495495128215581,49058,4381,248423555.00,5096,10.39,84.45,41.55
8-December-2020,5065.00,5081.40,4960.00,5014.15,5031.298112762443972635,42390,3807,213276727.00,4651,10.97,121.40,-50.85
7-December-2020,4935.00,5072.95,4905.90,5026.00,5007.406007337549798554,88858,7636,444948083.00,16348,18.40,167.05,91.00
4-December-2020,4932.00,4957.95,4864.10,4907.30,4909.180902896730234859,52542,6118,257938183.00,12858,24.47,93.85,-24.70
3-December-2020,4853.30,4940.00,4844.80,4924.50,4867.171977087621945762,67038,3265,326285475.00,38511,57.45,95.20,71.20
2-December-2020,4857.00,4889.65,4811.00,4849.35,4847.059498781993526212,29967,3364,145251832.00,5226,17.44,78.65,-7.65
1-December-2020,4861.15,4868.00,4805.90,4827.65,4835.977916068294239668,31335,4429,151535368.00,8631,27.54,62.10,-33.50
27-November-2020,4898.80,4934.90,4811.00,4829.60,4877.627563408711932832,34183,3665,166731943.00,5678,16.61,123.90,-69.20
26-November-2020,4824.00,4927.00,4775.50,4898.80,4845.112127977290536244,67637,6923,327708849.00,14139,20.90,151.50,74.80
25-November-2020,5000.00,5018.70,4784.00,4806.45,4903.913920703757243287,80937,7502,396908081.00,12680,15.67,234.70,-193.55
24-November-2020,4847.00,4938.10,4790.00,4910.95,4872.242420262253453295,45681,4006,222568906.00,5702,12.48,148.10,63.95
23-November-2020,4689.00,4870.40,4673.90,4828.30,4807.793115466073295622,74602,6519,358670982.00,6959,9.33,196.50,139.30
20-November-2020,4736.00,4755.70,4658.80,4670.70,4692.374303424957735896,31942,3077,149883820.00,5895,18.46,96.90,-65.30
19-November-2020,4690.00,4812.20,4660.05,4707.30,4734.615303407795278915,47362,4461,224240850.00,5785,12.21,152.15,17.30
18-November-2020,4785.30,4794.00,4675.80,4703.25,4718.401979281620447830,56182,6956,265089260.00,13488,24.01,118.20,-82.05
